date,average_price_rs_kg,highest_price_rs_kg,district,grade
2025-08-10,3250.0,3300.0,Monaragala,H-1
2025-11-16,4100.0,4200.0,Galle,C-5
2025-11-16,2150.0,2200.0,Gampaha,Gorosu
2025-11-16,3000.0,3000.0,Kurunegala,Heen
2025-11-16,3425.0,3500.0,Matara,H-1
2025-11-16,3775.11,4100.0,National,C-4
2025-11-16,2100.0,2300.0,Monaragala,Heen
2025-11-16,3959.38,4200.0,National,C-5
2025-11-16,3600.0,3600.0,Badulla,C-4
2025-11-16,3767.0,3850.0,Matara,M-5
2025-11-16,3526.0,3850.0,National,M-5
2025-11-16,4000.0,4000.0,Colombo,C-5
2025-11-16,4000.0,4000.0,Hambantota,C-5
2025-11-16,4585.0,4600.0,Kalutara,Alba
2025-11-16,3350.0,3400.0,Ratnapura,H-1
2025-11-16,4100.0,4100.0,Colombo,C-5 Sp
2025-11-16,3309.29,3500.0,National,H-1
2025-11-16,3000.0,3000.0,Colombo,H-2
2025-11-16,3000.0,3000.0,Badulla,Heen
2025-11-16,3950.0,4000.0,Ratnapura,C-5
2025-11-16,3875.0,3900.0,Ratnapura,C-4
2025-11-16,2000.0,2000.0,Kurunegala,Gorosu
2025-11-16,3900.0,3900.0,Badulla,C-5
2025-11-16,3338.0,3370.0,Matara,H-2
2025-11-16,3800.0,4100.0,Galle,C-4
2025-11-16,4050.0,4100.0,Ratnapura,C-5 Sp
2025-11-16,4400.0,4500.0,Galle,C-5 Sp
2025-11-16,3050.0,3200.0,National,H-Faq
2025-11-16,4500.0,4500.0,Ratnapura,Alba
2025-11-16,4208.0,4500.0,National,C-5 Sp
2025-11-16,3975.0,4000.0,Matara,C-5
2025-11-16,3000.0,3000.0,Kalutara,H-2
2025-11-16,3201.86,3370.0,National,H-2
2025-11-16,1900.0,2000.0,Monaragala,Gorosu
2025-11-16,3200.0,3250.0,Ratnapura,H-2
2025-11-16,2137.5,2500.0,National,Gorosu
2025-11-16,3700.0,3750.0,Gampaha,C-4
2025-11-16,3350.0,3350.0,Galle,H-2
2025-11-16,3090.0,3100.0,Kalutara,H-1
2025-11-16,3285.0,3300.0,Kalutara,M-5
2025-11-16,3445.0,3800.0,National,M-4
2025-11-16,3325.0,3350.0,Hambantota,H-2
2025-11-16,3900.0,3900.0,Hambantota,C-4
2025-11-16,3900.0,4000.0,Kalutara,C-5
2025-11-16,3200.0,3200.0,Badulla,H-2
2025-11-16,3400.0,3400.0,Badulla,H-1
2025-11-16,3050.0,3200.0,Matara,H-Faq
2025-11-16,3850.0,3850.0,Colombo,C-4
2025-11-16,3190.0,3200.0,Kalutara,M-4
2025-11-16,3850.0,3900.0,Gampaha,C-5
2025-11-16,3400.0,3400.0,Hambantota,H-1
2025-11-16,4200.0,4200.0,Matara,C-5 Sp
2025-11-16,3780.0,3800.0,Kalutara,C-4
2025-11-16,3600.0,3600.0,Monaragala,C-4
2025-11-16,4683.75,5000.0,National,Alba
2025-11-16,2700.0,3000.0,National,Heen
2025-11-16,3400.0,3450.0,Galle,H-1
2025-11-16,3100.0,3100.0,Colombo,H-1
2025-11-16,2500.0,2500.0,Badulla,Gorosu
2025-11-16,4650.0,4700.0,Matara,Alba
2025-11-16,4290.0,4300.0,Kalutara,C-5 Sp
2025-11-16,3871.0,4000.0,Matara,C-4
2025-11-16,5000.0,5000.0,Galle,Alba
2025-11-16,3700.0,3800.0,Matara,M-4
2025-11-23,3218.86,3450.0,National,H-2
2025-11-23,3475.0,3500.0,Galle,H-1
2025-11-23,3137.0,3250.0,Matara,H-Faq
2025-11-23,4200.0,4300.0,Ratnapura,C-5 Sp
2025-11-23,4775.0,5000.0,Matara,Alba
2025-11-23,3783.0,3800.0,Matara,M-5
2025-11-23,3850.0,3900.0,Gampaha,C-5
2025-11-23,4000.0,4000.0,Hambantota,C-5
2025-11-23,3432.5,3700.0,National,M-4
2025-11-23,5000.0,5000.0,Galle,Alba
2025-11-23,3462.0,3600.0,Matara,H-1
2025-11-23,3700.0,3750.0,Gampaha,C-4
2025-11-23,3350.0,3400.0,Ratnapura,H-1
2025-11-23,4025.0,4050.0,Matara,C-5
2025-11-23,3100.0,3100.0,Colombo,H-1
2025-11-23,4000.0,4100.0,Ratnapura,C-5
2025-11-23,2200.0,2300.0,Monaragala,Heen
2025-11-23,2000.0,2100.0,Gampaha,Gorosu
2025-11-23,3325.0,3350.0,Hambantota,H-2
2025-11-23,3800.0,3800.0,Kalutara,C-4
2025-11-23,3675.0,3700.0,Matara,M-4
2025-11-23,3550.0,3600.0,Monaragala,C-4
2025-11-23,4285.0,4300.0,Kalutara,C-5 Sp
2025-11-23,4741.25,5000.0,National,Alba
2025-11-23,3900.0,4000.0,Matara,C-4
2025-11-23,3400.0,3400.0,Hambantota,H-1
2025-11-23,3816.11,4150.0,National,C-4
2025-11-23,3300.0,3300.0,Badulla,H-2
2025-11-23,2500.0,2500.0,Badulla,Gorosu
2025-11-23,2133.25,2500.0,National,Gorosu
2025-11-23,3150.0,3200.0,Ratnapura,H-2
2025-11-23,3375.0,3400.0,Galle,H-2
2025-11-23,3090.0,3100.0,Kalutara,H-1
2025-11-23,3900.0,3900.0,Hambantota,C-4
2025-11-23,3900.0,4000.0,Kalutara,C-5
2025-11-23,3900.0,3900.0,Colombo,C-4
2025-11-23,3190.0,3200.0,Kalutara,M-4
2025-11-23,4333.0,4500.0,Matara,C-5 Sp
2025-11-23,3285.0,3300.0,Kalutara,M-5
2025-11-23,4000.0,4000.0,Colombo,C-5
2025-11-23,2033.0,2100.0,Monaragala,Gorosu
2025-11-23,3700.0,3700.0,Badulla,C-4
2025-11-23,4590.0,4600.0,Kalutara,Alba
2025-11-23,4100.0,4100.0,Colombo,C-5 Sp
2025-11-23,4075.0,4150.0,Galle,C-4
2025-11-23,3000.0,3000.0,Badulla,Heen
2025-11-23,3137.0,3250.0,National,H-Faq
2025-11-23,3339.57,3600.0,National,H-1
2025-11-23,4600.0,4700.0,Ratnapura,Alba
2025-11-23,3500.0,3500.0,Badulla,H-1
2025-11-23,3900.0,3900.0,Badulla,C-5
2025-11-23,3820.0,3900.0,Ratnapura,C-4
2025-11-23,3382.0,3450.0,Matara,H-2
2025-11-23,3000.0,3000.0,Kalutara,H-2
2025-11-23,4268.6,4500.0,National,C-5 Sp
2025-11-23,3000.0,3000.0,Colombo,H-2
2025-11-23,2000.0,2000.0,Kurunegala,Gorosu
2025-11-23,3000.0,3000.0,Kurunegala,Heen
2025-11-23,3534.0,3800.0,National,M-5
2025-11-23,3981.25,4250.0,National,C-5
2025-11-23,4175.0,4250.0,Galle,C-5
2025-11-23,2733.33,3000.0,National,Heen
2025-11-23,4425.0,4500.0,Galle,C-5 Sp
2025-11-30,3325.0,3350.0,Hambantota,H-2
2025-11-30,3100.0,3100.0,Colombo,H-2
2025-11-30,3500.0,3500.0,Badulla,H-1
2025-11-30,3750.0,3800.0,Gampaha,C-5
2025-11-30,2000.0,2100.0,Gampaha,Gorosu
2025-11-30,4050.0,4050.0,Matara,C-5
2025-11-30,3500.0,3650.0,Matara,H-1
2025-11-30,2200.0,2300.0,Monaragala,Heen
2025-11-30,4300.0,4300.0,Colombo,C-5 Sp
2025-11-30,4600.0,4700.0,Ratnapura,Alba
2025-11-30,3556.0,3850.0,National,M-5
2025-11-30,2000.0,2000.0,Kurunegala,Gorosu
2025-11-30,3700.0,3750.0,Matara,M-4
2025-11-30,4460.0,4500.0,Kalutara,C-5 Sp
2025-11-30,3300.0,3300.0,Badulla,H-2
2025-11-30,2125.0,2500.0,National,Gorosu
2025-11-30,3090.0,3100.0,Kalutara,H-1
2025-11-30,3200.0,3200.0,Colombo,H-1
2025-11-30,3900.0,3900.0,Badulla,C-5
2025-11-30,4785.0,4800.0,Kalutara,Alba
2025-11-30,4100.0,4100.0,Colombo,C-4
2025-11-30,3817.0,3850.0,Matara,M-5
2025-11-30,4200.0,4200.0,Colombo,C-5
2025-11-30,4100.0,4200.0,Galle,C-4
2025-11-30,3905.33,4200.0,National,C-4
2025-11-30,3000.0,3000.0,Badulla,Heen
2025-11-30,3370.0,3650.0,National,H-1
2025-11-30,3187.0,3350.0,National,H-Faq
2025-11-30,4295.0,4300.0,Kalutara,C-5
2025-11-30,3250.0,3300.0,Ratnapura,H-2
2025-11-30,3650.0,3700.0,Monaragala,C-4
2025-11-30,3900.0,4000.0,Ratnapura,C-4
2025-11-30,4855.5,5500.0,National,Alba
2025-11-30,3000.0,3000.0,Kalutara,H-2
2025-11-30,4130.63,4500.0,National,C-5
2025-11-30,3993.0,4200.0,Matara,C-4
2025-11-30,4400.0,4500.0,Galle,C-5
2025-11-30,2000.0,2100.0,Monaragala,Gorosu
2025-11-30,3000.0,3000.0,Kurunegala,Heen
2025-11-30,2500.0,2500.0,Badulla,Gorosu
2025-11-30,3800.0,3800.0,Badulla,C-4
2025-11-30,3393.0,3500.0,Matara,H-2
2025-11-30,3980.0,4000.0,Kalutara,C-4
2025-11-30,4025.0,4050.0,Hambantota,C-4
2025-11-30,3450.0,3500.0,Galle,H-2
2025-11-30,3400.0,3450.0,Hambantota,H-1
2025-11-30,4418.6,4800.0,National,C-5 Sp
2025-11-30,3445.0,3750.0,National,M-4
2025-11-30,4383.0,4700.0,Matara,C-5 Sp
2025-11-30,3187.0,3350.0,Matara,H-Faq
2025-11-30,4650.0,4800.0,Galle,C-5 Sp
2025-11-30,3600.0,3700.0,Gampaha,C-4
2025-11-30,3550.0,3600.0,Galle,H-1
2025-11-30,3259.71,3500.0,National,H-2
2025-11-30,4787.0,4850.0,Matara,Alba
2025-11-30,2733.33,3000.0,National,Heen
2025-11-30,3295.0,3300.0,Kalutara,M-5
2025-11-30,4250.0,4300.0,Hambantota,C-5
2025-11-30,5250.0,5500.0,Galle,Alba
2025-11-30,4200.0,4250.0,Ratnapura,C-5
2025-11-30,4300.0,4350.0,Ratnapura,C-5 Sp
2025-11-30,3350.0,3450.0,Ratnapura,H-1
2025-11-30,3190.0,3200.0,Kalutara,M-4
2025-12-07,3190.0,3200.0,Kalutara,M-4
2025-12-07,3250.0,3300.0,Ratnapura,H-2
2025-12-07,3600.0,3600.0,Badulla,H-1
2025-12-07,2000.0,2100.0,Monaragala,Gorosu
2025-12-07,4125.0,4150.0,Hambantota,C-4
2025-12-07,4333.0,4400.0,Matara,C-5 Sp
2025-12-07,4971.25,5500.0,National,Alba
2025-12-07,3090.0,3100.0,Kalutara,H-1
2025-12-07,3100.0,3100.0,Colombo,H-2
2025-12-07,4190.71,4500.0,National,C-5
2025-12-07,4900.0,5100.0,Matara,Alba
2025-12-07,4650.0,4800.0,Galle,C-5 Sp
2025-12-07,3200.0,3200.0,Colombo,H-1
2025-12-07,3600.0,3600.0,Galle,H-1
2025-12-07,4400.0,4500.0,Hambantota,C-5
2025-12-07,4190.0,4500.0,Matara,C-5
2025-12-07,4150.0,4200.0,Ratnapura,C-5
2025-12-07,2500.0,2500.0,Badulla,Gorosu
2025-12-07,2200.0,2300.0,Monaragala,Heen
2025-12-07,3980.0,4000.0,Kalutara,C-4
2025-12-07,3550.0,3550.0,Hambantota,H-1
2025-12-07,4300.0,4300.0,Colombo,C-5 Sp
2025-12-07,3000.0,3000.0,Badulla,Heen
2025-12-07,3524.0,4000.0,National,M-5
2025-12-07,3356.0,3500.0,Matara,H-2
2025-12-07,4450.0,4500.0,Galle,C-5
2025-12-07,3326.0,3500.0,National,H-2
2025-12-07,3150.0,3350.0,National,H-Faq
2025-12-07,3575.0,3700.0,Matara,M-4
2025-12-07,4100.0,4100.0,Colombo,C-4
2025-12-07,4000.0,4100.0,Ratnapura,C-4
2025-12-07,4785.0,4800.0,Kalutara,Alba
2025-12-07,3462.67,3600.0,National,H-1
2025-12-07,4295.0,4300.0,Kalutara,C-5
2025-12-07,4050.0,4100.0,Galle,C-4
2025-12-07,4700.0,4800.0,Ratnapura,Alba
2025-12-07,3763.0,4000.0,Matara,M-5
2025-12-07,4200.0,4200.0,Colombo,C-5
2025-12-07,3486.0,3600.0,Matara,H-1
2025-12-07,3450.0,3500.0,Ratnapura,H-1
2025-12-07,4350.0,4400.0,Ratnapura,C-5 Sp
2025-12-07,5500.0,5500.0,Galle,Alba
2025-12-07,2100.0,2200.0,Gampaha,Gorosu
2025-12-07,3500.0,3500.0,Hambantota,H-2
2025-12-07,3850.0,3900.0,Gampaha,C-5
2025-12-07,3700.0,3750.0,Gampaha,C-4
2025-12-07,3150.0,3350.0,Matara,H-Faq
2025-12-07,3382.5,3700.0,National,M-4
2025-12-07,4448.25,4800.0,National,C-5 Sp
2025-12-07,3000.0,3000.0,Kalutara,H-2
2025-12-07,2000.0,2000.0,Kurunegala,Gorosu
